market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,3,2026-03-30,2026-06-29,34281665,9,1
belize,3,2026-03-30,2026-06-29,34617739,87,2
belize,3,2026-03-30,2026-06-29,34618613,81,6
belize,3,2026-03-30,2026-06-29,36065414,23,7
belize,3,2026-03-30,2026-06-29,36559602,65,15
belize,3,2026-03-30,2026-06-29,37907695,11,4
belize,3,2026-03-30,2026-06-29,39156629,8,0
belize,3,2026-03-30,2026-06-29,39643984,3,0
belize,3,2026-03-30,2026-06-29,39670968,10,4
belize,3,2026-03-30,2026-06-29,39821787,3,0
belize,3,2026-03-30,2026-06-29,41196731,20,0
belize,3,2026-03-30,2026-06-29,41382421,2,0
belize,3,2026-03-30,2026-06-29,42412476,10,4
belize,3,2026-03-30,2026-06-29,42586677,25,0
belize,3,2026-03-30,2026-06-29,42605537,12,0
belize,3,2026-03-30,2026-06-29,42709921,9,1
belize,3,2026-03-30,2026-06-29,48655188,7,0
belize,3,2026-03-30,2026-06-29,49504655,14,0
belize,3,2026-03-30,2026-06-29,50552308,6,0
belize,3,2026-03-30,2026-06-29,50910140,16,0
belize,3,2026-03-30,2026-06-29,51781136,56,0
belize,3,2026-03-30,2026-06-29,52335837,57,10
belize,3,2026-03-30,2026-06-29,53306834,27,0
belize,3,2026-03-30,2026-06-29,53320113,16,0
belize,3,2026-03-30,2026-06-29,53982687,8,4
belize,3,2026-03-30,2026-06-29,558022265797199396,2,0
belize,3,2026-03-30,2026-06-29,592627964119028040,7,0
belize,3,2026-03-30,2026-06-29,607822911056925759,9,2
belize,3,2026-03-30,2026-06-29,648369869716192109,21,0
belize,3,2026-03-30,2026-06-29,677548045655730848,11,0
belize,3,2026-03-30,2026-06-29,695014126901686747,38,11
belize,3,2026-03-30,2026-06-29,709437863918455288,19,0
belize,3,2026-03-30,2026-06-29,718791526019226967,6,0
belize,3,2026-03-30,2026-06-29,729805383046898530,33,0
belize,3,2026-03-30,2026-06-29,736960531154338495,26,0
belize,3,2026-03-30,2026-06-29,746968711786529779,46,15
belize,3,2026-03-30,2026-06-29,805726358991636520,19,0
belize,3,2026-03-30,2026-06-29,805814534649215893,20,7
belize,3,2026-03-30,2026-06-29,805831010841820079,49,0
belize,3,2026-03-30,2026-06-29,805852271824697154,11,0
belize,3,2026-03-30,2026-06-29,816717995785099315,10,5
belize,3,2026-03-30,2026-06-29,833278561779161065,13,0
belize,3,2026-03-30,2026-06-29,850770903468530269,19,2
belize,3,2026-03-30,2026-06-29,889358282698402487,20,7
belize,3,2026-03-30,2026-06-29,897921512122629227,2,0
