object_id,name,postal_code,rooms,longitude,latitude,row_update_code,name_postal_key,source_id,independent_status,airbnb_membership
19844,Hotel Bencoolen,189626,84,103.85010826548346,1.2991867217252204,20220713235853,HOTEL BENCOOLEN|189626,HRE-SG-HLB,unverified,unverified
19845,Hotel Calmo Bugis,189699,33,103.85672424166704,1.2975099277444118,20220713235853,HOTEL CALMO BUGIS|189699,HRE-SG-HLB,unverified,unverified
19846,Andaz Singapore,189354,347,103.85785954464839,1.29916295638181,20230921181826,ANDAZ SINGAPORE|189354,HRE-SG-HLB,unverified,unverified
19847,Beary Best! Hostel Lavender,338785,7,103.85923826995847,1.3150562904538026,20230921181826,BEARY BEST HOSTEL LAVENDER|338785,HRE-SG-HLB,unverified,unverified
19848,"Fairmont, Singapore",189560,778,103.85333183259196,1.2940764375653957,20230921181826,FAIRMONT SINGAPORE|189560,HRE-SG-HLB,unverified,unverified
19849,HOLIDAY INN EXPRESS & SUITES SINGAPORE NOVENA,329926,231,103.8524941081791,1.3199988662751563,20230921181826,HOLIDAY INN EXPRESS SUITES SINGAPORE NOVENA|329926,HRE-SG-HLB,unverified,unverified
19850,Holiday Inn Express Singapore Serangoon,209019,119,103.85863034860847,1.3101410903756938,20230921181826,HOLIDAY INN EXPRESS SINGAPORE SERANGOON|209019,HRE-SG-HLB,unverified,unverified
19851,Spacepod@Lavender,208559,8,103.86171499322089,1.3103317794824925,20230921181826,SPACEPOD LAVENDER|208559,HRE-SG-HLB,unverified,unverified
19852,New Cathay Hotel (Geylang),389403,53,103.8817472069227,1.31323581232938,20220713235853,NEW CATHAY HOTEL GEYLANG|389403,HRE-SG-HLB,unverified,unverified
19853,Atlantis @ 531,218163,28,103.85776475011451,1.3150748050872834,20230119093336,ATLANTIS 531|218163,HRE-SG-HLB,unverified,unverified
19854,Citadines Connect Rochester Singapore,139212,135,103.78788567525913,1.3046695085219333,20230119093336,CITADINES CONNECT ROCHESTER SINGAPORE|139212,HRE-SG-HLB,unverified,unverified
19855,Green Kiwi Backpacker Hostel,338800,12,103.86032598569577,1.314383991398488,20230119093336,GREEN KIWI BACKPACKER HOSTEL|338800,HRE-SG-HLB,unverified,unverified
19856,Hilton Garden Inn Singapore Serangoon,219924,328,103.85192868529634,1.3083355998170711,20230119093336,HILTON GARDEN INN SINGAPORE SERANGOON|219924,HRE-SG-HLB,unverified,unverified
19857,Holiday Inn Singapore Atrium,169075,512,103.8340682869932,1.2890701916602725,20230119093336,HOLIDAY INN SINGAPORE ATRIUM|169075,HRE-SG-HLB,unverified,unverified
