market,target,date,source,url,status,exists,size,listings_local,note,region,quarter,downloaded,processed
mornington-peninsula,2025-09-15,2025-09-18,local_listings,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2025-09-18/data/calendar.csv.gz,206,True,3967759,True,,apac,3Q25,True,True
mornington-peninsula,2025-12-15,2025-12-22,cdn_probe,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2025-12-22/data/calendar.csv.gz,206,True,4200399,False,,apac,4Q25,True,True
mornington-peninsula,2026-03-15,2026-03-25,cdn_probe,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2026-03-25/data/calendar.csv.gz,206,True,3387424,False,,apac,1Q26,True,True
mornington-peninsula,2026-06-15,2026-06-22,local_listings,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2026-06-22/data/calendar.csv.gz,206,True,3959158,True,,apac,2Q26,True,True
mornington-peninsula,2026-08-20,2026-08-26,local_listings,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2026-08-26/data/calendar.csv.gz,206,True,3961718,True,,apac,3Q26,True,True
nashville,2025-09-15,2025-09-23,local_listings,https://data.insideairbnb.com/united-states/tn/nashville/2025-09-23/data/calendar.csv.gz,206,True,8712517,True,,na,3Q25,True,True
nashville,2025-12-15,2025-12-27,local_listings,https://data.insideairbnb.com/united-states/tn/nashville/2025-12-27/data/calendar.csv.gz,206,True,6224935,True,,na,4Q25,True,True
nashville,2026-03-15,2026-03-28,local_listings,https://data.insideairbnb.com/united-states/tn/nashville/2026-03-28/data/calendar.csv.gz,206,True,5660491,True,,na,1Q26,True,True
nashville,2026-06-15,2026-06-26,local_listings,https://data.insideairbnb.com/united-states/tn/nashville/2026-06-26/data/calendar.csv.gz,206,True,9421844,True,,na,2Q26,True,True
nashville,2026-08-20,2026-08-27,local_listings,https://data.insideairbnb.com/united-states/tn/nashville/2026-08-27/data/calendar.csv.gz,206,True,9370294,True,,na,3Q26,True,True
new-orleans,2025-09-15,2025-09-11,local_listings,https://data.insideairbnb.com/united-states/la/new-orleans/2025-09-11/data/calendar.csv.gz,206,True,6603371,True,,na,3Q25,True,True
new-orleans,2025-12-15,2025-12-12,local_listings,https://data.insideairbnb.com/united-states/la/new-orleans/2025-12-12/data/calendar.csv.gz,206,True,6591276,True,,na,4Q25,True,True
new-orleans,2026-03-15,2026-03-19,local_listings,https://data.insideairbnb.com/united-states/la/new-orleans/2026-03-19/data/calendar.csv.gz,206,True,5612585,True,,na,1Q26,True,True
new-orleans,2026-06-15,2026-06-16,local_listings,https://data.insideairbnb.com/united-states/la/new-orleans/2026-06-16/data/calendar.csv.gz,206,True,6482537,True,,na,2Q26,True,True
new-orleans,2026-08-20,2026-08-15,local_listings,https://data.insideairbnb.com/united-states/la/new-orleans/2026-08-15/data/calendar.csv.gz,206,True,6571574,True,,na,3Q26,True,True
new-york-city,2025-09-15,2025-10-01,local_listings,https://data.insideairbnb.com/united-states/ny/new-york-city/2025-10-01/data/calendar.csv.gz,206,True,31060532,True,,na,4Q25,True,True
new-york-city,2025-12-15,2025-12-04,local_listings,https://data.insideairbnb.com/united-states/ny/new-york-city/2025-12-04/data/calendar.csv.gz,206,True,31711038,True,,na,4Q25,True,True
new-york-city,2026-03-15,2026-03-16,local_listings,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-03-16/data/calendar.csv.gz,206,True,29347960,True,,na,1Q26,True,True
new-york-city,2026-06-15,2026-06-14,local_listings,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-06-14/data/calendar.csv.gz,206,True,25904041,True,,na,2Q26,True,True
new-york-city,2026-08-20,2026-08-10,local_listings,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-08-10/data/calendar.csv.gz,206,True,25849814,True,,na,3Q26,True,True
northern-rivers,2025-09-15,2025-09-22,local_listings,https://data.insideairbnb.com/australia/nsw/northern-rivers/2025-09-22/data/calendar.csv.gz,206,True,5435022,True,,apac,3Q25,True,True
northern-rivers,2025-12-15,2025-12-25,cdn_probe,https://data.insideairbnb.com/australia/nsw/northern-rivers/2025-12-25/data/calendar.csv.gz,206,True,5856926,False,,apac,4Q25,True,True
northern-rivers,2026-03-15,2026-03-27,cdn_probe,https://data.insideairbnb.com/australia/nsw/northern-rivers/2026-03-27/data/calendar.csv.gz,206,True,4461800,False,,apac,1Q26,True,True
northern-rivers,2026-06-15,2026-06-24,local_listings,https://data.insideairbnb.com/australia/nsw/northern-rivers/2026-06-24/data/calendar.csv.gz,206,True,5714958,True,,apac,2Q26,True,True
northern-rivers,2026-08-20,2026-08-27,local_listings,https://data.insideairbnb.com/australia/nsw/northern-rivers/2026-08-27/data/calendar.csv.gz,206,True,5781588,True,,apac,3Q26,True,True
paris,2025-09-15,2025-09-12,local_listings,https://data.insideairbnb.com/france/ile-de-france/paris/2025-09-12/data/calendar.csv.gz,206,True,72087684,True,,emea,3Q25,True,True
paris,2025-12-15,2025-12-13,local_listings,https://data.insideairbnb.com/france/ile-de-france/paris/2025-12-13/data/calendar.csv.gz,206,True,74835034,True,,emea,4Q25,True,True
paris,2026-03-15,2026-03-21,local_listings,https://data.insideairbnb.com/france/ile-de-france/paris/2026-03-21/data/calendar.csv.gz,206,True,34768180,True,,emea,1Q26,True,True
paris,2026-06-15,2026-06-16,local_listings,https://data.insideairbnb.com/france/ile-de-france/paris/2026-06-16/data/calendar.csv.gz,206,True,68830248,True,,emea,2Q26,True,True
paris,2026-08-20,2026-08-15,local_listings,https://data.insideairbnb.com/france/ile-de-france/paris/2026-08-15/data/calendar.csv.gz,206,True,69940481,True,,emea,3Q26,True,True
rio-de-janeiro,2025-09-15,2025-09-26,local_listings,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2025-09-26/data/calendar.csv.gz,206,True,38152701,True,,latam,3Q25,True,True
rio-de-janeiro,2025-12-15,2025-12-28,cdn_probe,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2025-12-28/data/calendar.csv.gz,206,True,43445223,False,,latam,4Q25,True,True
rio-de-janeiro,2026-03-15,2026-03-30,cdn_probe,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2026-03-30/data/calendar.csv.gz,206,True,36377379,False,,latam,1Q26,True,True
rio-de-janeiro,2026-06-15,2026-06-24,local_listings,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2026-06-24/data/calendar.csv.gz,206,True,43607500,True,,latam,2Q26,True,True
rio-de-janeiro,2026-08-20,2026-08-30,local_listings,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2026-08-30/data/calendar.csv.gz,206,True,43105430,True,,latam,3Q26,True,True
rome,2025-09-15,2025-09-14,local_listings,https://data.insideairbnb.com/italy/lazio/rome/2025-09-14/data/calendar.csv.gz,206,True,33602013,True,,emea,3Q25,True,True
rome,2025-12-15,2025-12-16,local_listings,https://data.insideairbnb.com/italy/lazio/rome/2025-12-16/data/calendar.csv.gz,206,True,34220835,True,,emea,4Q25,True,True
rome,2026-03-15,2026-03-24,local_listings,https://data.insideairbnb.com/italy/lazio/rome/2026-03-24/data/calendar.csv.gz,206,True,27529305,True,,emea,1Q26,True,True
rome,2026-06-15,2026-06-20,local_listings,https://data.insideairbnb.com/italy/lazio/rome/2026-06-20/data/calendar.csv.gz,206,True,32626652,True,,emea,2Q26,True,True
rome,2026-08-20,2026-08-25,local_listings,https://data.insideairbnb.com/italy/lazio/rome/2026-08-25/data/calendar.csv.gz,206,True,34183268,True,,emea,3Q26,True,True
san-diego,2025-09-15,2025-09-25,local_listings,https://data.insideairbnb.com/united-states/ca/san-diego/2025-09-25/data/calendar.csv.gz,206,True,11501730,True,,na,3Q25,True,True
san-diego,2025-12-15,2025-12-11,local_listings,https://data.insideairbnb.com/united-states/ca/san-diego/2025-12-11/data/calendar.csv.gz,206,True,11750562,True,,na,4Q25,True,True
san-diego,2026-03-15,2026-03-29,local_listings,https://data.insideairbnb.com/united-states/ca/san-diego/2026-03-29/data/calendar.csv.gz,206,True,10382365,True,,na,1Q26,True,True
san-diego,2026-06-15,2026-06-27,local_listings,https://data.insideairbnb.com/united-states/ca/san-diego/2026-06-27/data/calendar.csv.gz,206,True,11665167,True,,na,2Q26,True,True
san-diego,2026-08-20,2026-08-29,local_listings,https://data.insideairbnb.com/united-states/ca/san-diego/2026-08-29/data/calendar.csv.gz,206,True,11773638,True,,na,3Q26,True,True
santiago,2025-09-15,2025-09-27,local_listings,https://data.insideairbnb.com/chile/rm/santiago/2025-09-27/data/calendar.csv.gz,206,True,14368504,True,,latam,3Q25,True,True
santiago,2025-12-15,2025-12-29,cdn_probe,https://data.insideairbnb.com/chile/rm/santiago/2025-12-29/data/calendar.csv.gz,206,True,15147065,False,,latam,4Q25,True,True
santiago,2026-03-15,2026-03-30,cdn_probe,https://data.insideairbnb.com/chile/rm/santiago/2026-03-30/data/calendar.csv.gz,206,True,13563117,False,,latam,1Q26,True,True
santiago,2026-06-15,2026-06-29,local_listings,https://data.insideairbnb.com/chile/rm/santiago/2026-06-29/data/calendar.csv.gz,206,True,15808051,True,,latam,2Q26,True,True
santiago,2026-08-20,2026-08-30,local_listings,https://data.insideairbnb.com/chile/rm/santiago/2026-08-30/data/calendar.csv.gz,206,True,16077347,True,,latam,3Q26,True,True
sao-paulo,2025-09-15,,cdn_probe,,403,False,0,False,no dump within +/-24d,latam,,False,False
sao-paulo,2025-12-15,,cdn_probe,,403,False,0,False,no dump within +/-24d,latam,,False,False
sao-paulo,2026-03-15,,cdn_probe,,403,False,0,False,no dump within +/-24d,latam,,False,False
sao-paulo,2026-06-15,2026-06-14,local_listings,https://data.insideairbnb.com/brazil/sp/s%C3%A3o-paulo/2026-06-14/data/calendar.csv.gz,206,True,36634577,True,,latam,2Q26,True,True
sao-paulo,2026-08-20,2026-08-18,local_listings,https://data.insideairbnb.com/brazil/sp/s%C3%A3o-paulo/2026-08-18/data/calendar.csv.gz,206,True,38416910,True,,latam,3Q26,True,True
singapore,2025-09-15,2025-09-28,local_listings,https://data.insideairbnb.com/singapore/sg/singapore/2025-09-28/data/calendar.csv.gz,206,True,3081116,True,,apac,3Q25,True,True
singapore,2025-12-15,2025-12-29,cdn_probe,https://data.insideairbnb.com/singapore/sg/singapore/2025-12-29/data/calendar.csv.gz,206,True,3099921,False,,apac,4Q25,True,True
singapore,2026-03-15,2026-03-30,cdn_probe,https://data.insideairbnb.com/singapore/sg/singapore/2026-03-30/data/calendar.csv.gz,206,True,1020540,False,,apac,1Q26,True,True
singapore,2026-06-15,2026-06-29,local_listings,https://data.insideairbnb.com/singapore/sg/singapore/2026-06-29/data/calendar.csv.gz,206,True,2684783,True,,apac,2Q26,True,True
singapore,2026-08-20,2026-08-31,local_listings,https://data.insideairbnb.com/singapore/sg/singapore/2026-08-31/data/calendar.csv.gz,206,True,2612496,True,,apac,3Q26,True,True
sunshine-coast,2025-09-15,2025-08-31,local_listings,https://data.insideairbnb.com/australia/qld/sunshine-coast/2025-08-31/data/calendar.csv.gz,206,True,6448470,True,,apac,3Q25,True,True
sunshine-coast,2025-12-15,2025-11-30,cdn_probe,https://data.insideairbnb.com/australia/qld/sunshine-coast/2025-11-30/data/calendar.csv.gz,206,True,6836547,False,,apac,4Q25,True,True
sunshine-coast,2026-03-15,2026-02-28,cdn_probe,https://data.insideairbnb.com/australia/qld/sunshine-coast/2026-02-28/data/calendar.csv.gz,206,True,5869237,False,,apac,1Q26,True,True
sunshine-coast,2026-06-15,2026-06-30,local_listings,https://data.insideairbnb.com/australia/qld/sunshine-coast/2026-06-30/data/calendar.csv.gz,206,True,6546675,True,,apac,2Q26,True,True
sunshine-coast,2026-08-20,2026-08-31,local_listings,https://data.insideairbnb.com/australia/qld/sunshine-coast/2026-08-31/data/calendar.csv.gz,206,True,6611717,True,,apac,3Q26,True,True
sydney,2025-09-15,2025-09-12,local_listings,https://data.insideairbnb.com/australia/nsw/sydney/2025-09-12/data/calendar.csv.gz,206,True,15905040,True,,apac,3Q25,True,True
