market,dimension,bucket,listings,reviews_ltm,reviews_per_listing,median_price,supply_share,demand_share,demand_index,guest_stay_share,guest_stay_index,revenue_share,revenue_index,median_price_per_guest
it_sicily,bedrooms,3 br,4316,25970,6.017145505097313,217.0,0.1317701654759724,0.10749439141700538,0.8157718481169125,0.16417522233035528,1.2459210454607175,0.17632509847943856,1.338126106486453,33.495000000000005
it_sicily,bedrooms,4+ br,2168,9777,4.509686346863469,471.98,0.06619038896012701,0.04046872024967507,0.6113987375728124,0.09518632496617188,1.4380686752499972,0.13279878406148998,2.0063152090175476,48.092032967032964
mn_twin-cities-msa,accommodates,1-2 guests,547,10210,18.6654478976234,138.0,0.14791779340183883,0.16773176060849995,1.1339525607499685,0.05604666098840366,0.378904117614473,0.07561061686612565,0.5111664738042644,69.75
mn_twin-cities-msa,accommodates,3-4 guests,979,16479,16.832482124616956,191.58499999999998,0.26473769605191994,0.27072004731317045,1.0225972777978594,0.17094879364475574,0.6457289467807015,0.18952545107557509,0.7158989970147872,50.8125
mn_twin-cities-msa,accommodates,5-6 guests,883,14737,16.68969422423556,264.0,0.23877771768523526,0.24210215044931083,1.0139227093562304,0.2302756162707043,0.9643932377905601,0.20332912125976899,0.8515414387526905,46.666666666666664
mn_twin-cities-msa,accommodates,7+ guests,1289,19445,15.08533747090768,462.0,0.34856679286100595,0.31944604162901874,0.9164557501505907,0.5427289290961363,1.557029930021344,0.5315348107985303,1.5249152291178936,48.388888888888886
mn_twin-cities-msa,bedrooms,0-1 br,1033,20070,19.428848015488867,158.0,0.2793401838831801,0.32971365674951947,1.1803302058661402,0.16191318873057745,0.579627271951283,0.16661202467420425,0.5964484678075579,55.65
mn_twin-cities-msa,bedrooms,2 br,1013,16910,16.69299111549852,227.33,0.27393185505678747,0.2778005947002678,1.0141230001990031,0.23079382668066936,0.8425227749902421,0.22926461610761908,0.836940326126333,47.875
mn_twin-cities-msa,bedrooms,3 br,764,10764,14.089005235602095,334.33,0.206598161168199,0.1768329746513118,0.8559271469378941,0.21291556753687427,1.030578231349949,0.2016807269124179,0.9761980734582741,48.75
mn_twin-cities-msa,bedrooms,4+ br,888,13127,14.782657657657658,505.66499999999996,0.24012979989183342,0.21565277389890095,0.8980675201330357,0.39437741705187895,1.6423510002903698,0.4024426323057588,1.675937898948982,50.61611111111111
