gap_days,months_before_early_dump,n_pairs,median_ratio,mean_ratio,pooled_ratio,den
278,6,1,0.8204639256047228,0.8204639256047228,0.8204639256047228,38282
278,7,1,0.8225650272129287,0.8225650272129287,0.8225650272129287,29949
278,8,1,0.8222854949133022,0.8222854949133022,0.8222854949133022,31258
282,0,1,10.593004769475357,10.593004769475357,10.593004769475357,629
282,1,1,0.984717868338558,0.984717868338558,0.984717868338558,7656
282,2,1,0.9064431764146458,0.9064431764146458,0.9064431764146458,8412
282,3,1,0.9179634009709946,0.9179634009709946,0.9179634009709946,8033
282,4,1,0.9106259097525473,0.9106259097525473,0.9106259097525473,6870
282,5,1,0.9145854145854145,0.9145854145854145,0.9145854145854145,6006
282,6,1,0.917663868547955,0.917663868547955,0.917663868547955,5599
282,7,1,0.9202006383948929,0.9202006383948929,0.9202006383948929,4386
282,8,1,0.9215123235223738,0.9215123235223738,0.9215123235223738,4179
286,0,1,3161.5,3161.5,3161.5,2
286,1,1,1.0614298588164615,1.0614298588164615,1.0614298588164615,6658
286,2,1,0.8956561360874848,0.8956561360874848,0.8956561360874848,6584
286,3,1,0.9043384945577189,0.9043384945577189,0.9043384945577189,6523
286,4,1,0.9079213645562301,0.9079213645562301,0.9079213645562301,6918
286,5,1,0.9024216524216524,0.9024216524216524,0.9024216524216524,5616
286,6,1,0.9116582186821144,0.9116582186821144,0.9116582186821144,5524
286,7,1,0.9139736003641329,0.9139736003641329,0.9139736003641329,4394
286,8,1,0.9204758922980588,0.9204758922980588,0.9204758922980588,4791
287,0,2,24.5724907063197,24.5724907063197,33.83820224719101,890
287,1,2,0.9432130763081079,0.9432130763081079,0.9630781995436631,33747
287,2,2,0.8672492305797321,0.8672492305797321,0.8221754097518368,38926
287,3,2,0.8738524226223652,0.8738524226223652,0.8338237612316747,38062
287,4,2,0.8780625024215177,0.8780625024215177,0.8391993473573801,34322
287,5,2,0.8819600134753385,0.8819600134753385,0.8395768917819365,30725
287,6,2,0.8763780960851806,0.8763780960851806,0.8468426483805466,30041
287,7,2,0.8833397375525341,0.8833397375525341,0.848968275611308,22002
287,8,2,0.8871668850039902,0.8871668850039902,0.8506394776853591,22362
290,0,1,1.2477951033655543,1.2477951033655543,1.2477951033655543,28346
290,1,1,0.8953289661065224,0.8953289661065224,0.8953289661065224,35110
290,2,1,0.8947202566820408,0.8947202566820408,0.8947202566820408,34907
290,3,1,0.9038960227450246,0.9038960227450246,0.9038960227450246,32007
290,4,1,0.9009424748510597,0.9009424748510597,0.9009424748510597,40956
290,5,1,0.9068279492008305,0.9068279492008305,0.9068279492008305,41418
290,6,1,0.9063070255474452,0.9063070255474452,0.9063070255474452,35072
290,7,1,0.9024039063478152,0.9024039063478152,0.9024039063478152,31948
290,8,1,0.9012586420847367,0.9012586420847367,0.9012586420847367,33846
293,0,1,1.383687653311529,1.383687653311529,1.383687653311529,9784
293,1,1,0.8863636363636364,0.8863636363636364,0.8863636363636364,15400
293,2,1,0.886502856356253,0.886502856356253,0.886502856356253,14529
293,3,1,0.8886658149297317,0.8886658149297317,0.8886658149297317,10958
293,4,1,0.891415313225058,0.891415313225058,0.891415313225058,8620
293,5,1,0.8856160458452722,0.8856160458452722,0.8856160458452722,8725
293,6,1,0.8889464594127806,0.8889464594127806,0.8889464594127806,5790
293,7,1,0.8894016812263063,0.8894016812263063,0.8894016812263063,6067
293,8,1,0.885412433969931,0.885412433969931,0.885412433969931,7383
296,0,1,1.7329407689643228,1.7329407689643228,1.7329407689643228,2887
296,1,1,0.879954485112839,0.879954485112839,0.879954485112839,5273
296,2,1,0.8895224518888097,0.8895224518888097,0.8895224518888097,5612
296,3,1,0.8993227164561596,0.8993227164561596,0.8993227164561596,5463
