vintage_date,line,spec,n_obs,g,b,b_imposed,c_mix,flags,c_event_E02_cor_cash,c_event_E09_cor_cash,c_event_E05_ops_cash,c_event_E10_pd_cash
2023-08-03,cor,b_elastic_rw,6,0.05151272596654653,0.6597574705377011,False,,,,,,
2023-08-03,ops,b_elastic_rw,6,0.17133341394591314,0.12986597142615125,False,,,,,,
2023-08-03,pd,b_elastic_rw,6,0.0926732795287137,,False,,,,,,
2023-08-03,sm,b_elastic_rw,6,0.17107474144903834,0.3117278630572892,False,,,,,,
2023-08-03,ga,b_elastic_rw,6,0.15480788492193095,,False,,,,,,
2023-11-01,cor,b_elastic_rw,7,0.042164671235265766,0.6810453945234282,False,,,,,,
2023-11-01,ops,b_elastic_rw,7,0.1255331980393527,0.2679150632197681,False,,,,,,
2023-11-01,pd,b_elastic_rw,7,0.08479665032234952,,False,,,,,,
2023-11-01,sm,b_elastic_rw,7,0.07268713341247669,0.5450162960851115,False,,,,,,
2023-11-01,ga,b_elastic_rw,7,0.14414952135641004,,False,,,,,,
2024-02-13,cor,b_elastic_rw,8,0.02916312776345195,0.7169283941227415,False,,,,,,
2024-02-13,ops,b_elastic_rw,8,0.07206046059330488,0.4441218345327575,False,,,,,,
2024-02-13,pd,b_elastic_rw,8,0.07018880754486995,,False,,,,,,
2024-02-13,sm,b_elastic_rw,8,0.021723332716786718,0.6718881148003327,False,,,,,,
2024-02-13,ga,b_elastic_rw,8,0.12706001045407012,,False,,,,,,
2024-05-08,cor,b_elastic_rw,9,0.030375342588227754,0.7130190501968205,False,,,,,,
2024-05-08,ops,b_elastic_rw,9,0.016413095392486435,0.6546083235285302,False,,,,,,
2024-05-08,pd,b_elastic_rw,9,0.06969993780709229,,False,,,,,,
2024-05-08,sm,b_elastic_rw,9,0.01966683339154928,0.6766415439934735,False,,,,,,
2024-05-08,ga,b_elastic_rw,9,0.13266815649725838,,False,,,,,,
2024-08-06,cor,b_elastic_rw,10,0.053770947570979416,0.6319268496364179,False,,,,,,
2024-08-06,ops,b_elastic_rw,10,0.00834598599818778,0.6865440165292587,False,,,,,,
2024-08-06,pd,b_elastic_rw,10,0.07055187441071677,,False,,,,,,
2024-08-06,sm,b_elastic_rw,10,0.05527095671873282,0.56044676855304,False,,,,,,
2024-08-06,ga,b_elastic_rw,10,0.12632851421721797,,False,,,,,,
2024-11-07,cor,b_elastic_rw,11,0.011896703775029707,0.7877437936237356,False,,,,,,
2024-11-07,ops,b_elastic_rw,11,0.0411397575346788,0.5547928339519188,False,,,,,,
2024-11-07,pd,b_elastic_rw,11,0.09220420036978029,,False,,,,,,
2024-11-07,sm,b_elastic_rw,11,0.11428507950492131,0.36240996137063436,False,,,,,,
2024-11-07,ga,b_elastic_rw,11,0.10997827366096445,,False,,,,,,
2025-02-13,cor,b_elastic_rw,12,0.0103345467172563,0.791192697864722,False,,,,,,
2025-02-13,ops,b_elastic_rw,12,0.026463569353100295,0.5797485844432411,False,,,,,,
2025-02-13,pd,b_elastic_rw,12,0.11002224043789056,,False,,,,,,
2025-02-13,sm,b_elastic_rw,12,0.14695441660221137,0.2647799543363053,False,,,,,,
2025-02-13,ga,b_elastic_rw,12,0.1024683284651366,,False,,,,,,
2025-05-01,cor,b_elastic_rw,13,0.005335067266003536,0.8143948311580687,False,,,,,,
2025-05-01,ops,b_elastic_rw,13,0.02177836885185922,0.6010895118307243,False,,,,,,
2025-05-01,pd,b_elastic_rw,13,0.11769265698764189,,False,,,,,,
2025-05-01,sm,b_elastic_rw,13,0.1118235212740872,0.4080992998998269,False,,,,,,
2025-05-01,ga,b_elastic_rw,13,0.09356904219389864,,False,,,,,,
2025-08-06,cor,b_elastic_rw,14,0.0005152292598739483,0.8293526332297185,False,,,,,,
2025-08-06,ops,b_elastic_rw,14,-0.007837986759677517,0.7424205009680523,False,,,,,,
2025-08-06,pd,b_elastic_rw,14,0.12635564834370488,,False,,,,,,
2025-08-06,sm,b_elastic_rw,14,0.1195795791692074,0.3927359967915413,False,,,,,,
2025-08-06,ga,b_elastic_rw,14,0.07867490598751226,,False,,,,,,
2025-11-06,cor,b_elastic_rw,15,0.009203046475335768,0.8386151551688777,False,,,,,,
2025-11-06,ops,b_elastic_rw,15,-0.027034010095758516,0.8164674842705014,False,,,,,,
2025-11-06,pd,b_elastic_rw,15,0.12604748290399853,,False,,,,,,
2025-11-06,sm,b_elastic_rw,15,0.13836010015875894,0.328999291395973,False,,,,,,
2025-11-06,ga,b_elastic_rw,15,0.09986643738581848,,False,,,,,,
2026-02-12,cor,b_elastic_rw,16,0.00912648047100467,0.8372076046028468,False,,,,,,
2026-02-12,ops,b_elastic_rw,16,-0.007400536003550578,0.7653198248126215,False,,,,,,
2026-02-12,pd,b_elastic_rw,16,0.12002241207398834,,False,,,,,,
2026-02-12,sm,b_elastic_rw,16,0.1517360763505174,0.3016178155853602,False,,,,,,
2026-02-12,ga,b_elastic_rw,16,0.10604841778507275,,False,,,,,,
2026-05-07,cor,b_elastic_rw,17,0.011417084476868844,0.7988954310546891,False,,,,,,
